recipient,amount
ChHrhSRP9AcWWwFrXxzXaZCDDvcWgAqWyVzkW8CmKHzK,67278710222225
3ab2iWqdSjyaVVrPTJXRR9e9orqK4AMCrnc5EMEHGu2e,534016963011786
FfM4oeeszBdHJys9yPFV6hkcZB3ea5GuMYj81aVLURVK,985347464181079
7K2vTqdtVr3MGqJiQN4jyttXcVWFZnh5KpZaWE5BApzi,51678476518082
D4ujBcx3Wwc6rHhx1DFdTZL7vfDJDE6Y2BvRfE8HovBF,69170740189861
HrpWeJSYnQVtZe3BKxFCBrAEr8GRCmYUbQev4hoGDBs6,70028392826215
Gctz3akopD6MtJdqYcGDAjqLKkghD465UjwhmYG6rJ6t,70252173659055
C8H7mCWTYDX3LJUgAH5hqmVUQAwdAyHpybTZgvfCJDaM,69206996991313
EyXKfMhSvSQ2Kaqm3MnKxqPp26EDF39Fwhp5iJuXedkt,69520146516862
BmjKDyDbPgkt8Pz7F5tr2GNFKqfg7PA9wPJjevcFyJ9Y,15649171915689
Asju9nresVBNjVMygiCUZCgWJVi7reT8aHE6PMc2tTha,50424091882131
8rVubWZEYjy4YfMvUr5CDPg6YgdFdzUfZtfw84cxGjaZ,69807012430938
8F75kvPrr9SVFDDbyNJQ9J8sxpEXDNh481McKJ1YzQB2,66226180975727
HoXANZnWTGeePertqWkMEnnhgXjTjzpfWaT2kja2ZgVU,69353915083930
2n2xqWM9Z18LqxfJzkNrMMFWiDUFYA2k6WSgSnf6EnJs,70119424682967
AjfUXpuPLBFwB9NbhS8vYFgvf1tU5Xt7LG7yKAQpBTNE,69349054720489
GVeC7F7HPGb5ai9LxvD8vYckfwiHDCSULPfFDDgKMEfX,50433424468772
CmXajDrDRcDaYCNf2CBZnqXJj1t88gdjbTksWk8VUDLX,69711512603214
Djuby3AVcSXgxnsjD1msGK4cjpYoxpQCyugQKLtk4YCk,67567084597914
HzNwDXpszprUUVvxPtiQMV44C9Has24HEBpPRoG4gg1T,50274796029226
8zu5yVC3HdaaNVU3nFhN8XWR5zRK18LHd78gL7vxX6Va,645673419068006
79BLeiBD9r6okMwEPW3zHAviUJFwCLjTsK6HTPBwrN6f,79700210686829
5aMKC45WzyfTkZAm2tPCL889byRZDv2hZmcjPZRqBTxP,1936356979607
791TEfCL17qjbyDFiYcimaZBWzG8fCa2zX5QqBo8tXH9,16742999126648
2NCzepxVangimxxDGLBiMYFfPS5ioRKr4aij6Rf668rg,18918941342790
4fBRoJozYQ8sL8QTf2rar8iTNag8WsCVN2Kg5rxWuruA,55746267006193
9gJT69qJUibNmfnAPBgsqSmLqVxc3kxXpw1Vk7APDrso,70854283390166
Au4h7vfDGzb6PYz576NpSkyPD4PrUEJbHb6HyRD2WZia,21957394867822
B944yautGEx2bDAfDbCKgXJ3t3ReKfeg343Wm9QYfHKc,66963424984662
4NJni8eC5AS8u18pyUHwmVcqb7mLF7DbRTvBopVj8Ptu,50432004264571
J4izU5SytdEsvEfotPJxvHMqz2CPkSBGMdQCGgT4XxYP,70034528707943
6StCChNbr1yHTXevnYxebDeVYnEZKmSPPvtYdzb9Zjdz,69877391870017
E6cyDdEH8fiyCTusmWcZVhapAvvp2LK24zMLg4KrrAkt,109486095168716
FBRSAyDDY6nYRqPnD7teof9yAHvbdg9tmPyi26tYt4gA,67086205577373
2XTfaBNteEo1nrDhqmkiBGQ863cxgDdEuZ1iGvCunXiv,101713712214270
6pVZhUW9AZMMFuNVMUds8useZHB7VFT4vvxuA3B9JgW4,69265963034238
8g6tzWhFtBQLMFpocAEppnaT2Zrebzhyba5rvCmvygeL,69199986448690
6F1Rr8ndMTSuqPYXqa2fcpK5aL5wm9s297F3KtCypJfc,69179537132695
9KrrUKKWAEsSJZCQ5U5T25CENtqh4Nur955LTSf3Lysr,70098618259053
ETKYDy8MpS6pYU1UQGMYa9VxvsbA6612t17rgYSAJr4m,3004777
8vnrJNMDERZRwWgUMSqwLyYHEPkQQg3Ww6BM9AH4uX5R,71384414855638
rusx3KV69WGvsEbWa2HxjXp9GfHpjojM94BqsnfxKhx,69917598381946
BAHNFqttxYMMZUDqMm1JQPnxkZoHLnpash1ouM7pnLEA,16805792692359
EWPP53ZmFP1Fj3dtSZKCUDPy7TVAABBjL6S2GpYZ6rGa,69274979698524
GcSQc4itbmUBydybJgKPdeAxbo9nNPNd4ZVS9tiZhFoQ,50262424941746
pgixuWVfFotnasNyvc3CkRa9nzQRXFpWTwoc6Rb22kb,69334611909459
3Jxn6NS72re3AMEq6ahmSQF8mfMvrCErJbtH9rSRKF6Q,17074273775992
Saz5Yn5494tn1nRtwUHmZvex3e4U8b6FBqAkaw4wXGA,69920607304304
646wp7gnRUojM2TSSDZJvXrxWcZ7DYAnLMD4HmrUTxGq,504357993555600
8Q7K2irCbYfEG5ZWyBceiytbL1u977gXqw7UaHZ55Awo,69510442605582
ZzMzEhzjmjcb8wxf4j4CKCT2xrK3z5SwWArwgCGPNth,70020025966881
6GRLDLiAtx8ZjYgQgPo7UsYeJ9g1pLX5j3HK97tFmtXb,21910241191101
FMZpRCtDwbGui79TsztM6M7f4WVcPaYgaZbZZwXnq6Ji,69891617331869
48Dactjx3zuJujtBHZ5cd2w3maKFFGsKhn1sXzU59VGK,69832383048572
7JCgnNDTewhSAx8jX813kLgPLKrd5oXvAB3CeJ2xf7o2,47072697903158
Cn2GFnp4H4mejHtR4GbV6ga48qoceZefzxNU68PxCcK8,69755080016428
97MtLX5ajrR319PH8iLnctBpaLFoT3TNuUAtZfZaEn7U,69817468391122
G3x5eb53kUpp92FWiyqRWJ3Q6e9tH3dEjGDgDWYf6was,69743513773301
sce3toTHRs1ctHw5QTtfE8N8Z8WL6cTnfzJyt2c1bJX,40617999717120
zeroT6PTAEjipvZuACTh1mbGCqTHgA6i1ped9DcuidX,61070005762678
spcti6GQVvinbtHU9UAkbXhjTcBJaba1NVx4tmK4M5F,141292945023321
DqBvkYXi7HjdaKz78yakiDsaGuq1BKrQi3Z5JV6STctz,65972731176686
bXrKVQy7ioxnava8tfpnB77mnV5S75R6icpDVyoZvTd,99102393193216
3VMSzLTLD5M9nKLWfDfMcAVShhtzBbAqptedubDnrQPx,50262426942892
8yjHdsCgx3bp2zEwGiWSMgwpFaCSzfYAHT1vk7KJBqhN,279816220612866
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,5055141799029739
7LMg8n5DRe5UzSH1Qyn7say9HQshWjjnaURMBaNgxCYE,69912613232720
indMGAW9rPd6d4Pe8YoN2gYRhUpLmEDdSGeQVo6kJ46,69088447648908
B94PGWcxE9iEDov8sZobTkqEY96Yb5gfcsYWSWpQxh6S,50388629711032
siriXy5CcarNiz4XL8ssBQGiy2PwReVLny3Bcxq6Ymb,69161109658501
7abdEa9dJLDHAHq3bYjVjRFhczUvCMqtJj5nh9GLpGho,50465189209879
FUhBaeztzSza7n5sM1TVkhfCtsfYe2FmqUkjjpQ1PHin,22001263268169
6qumtoj7ECEMzvFx7Pm7nnBmEUB7PXEeHj6VuokH6iH3,69184755859540
9EuVHrRR7wfBo6UdHd6Rb6UiZD5p3E3CNhAqY5swUxEA,4437816820047
8xWsmbZdGLXNsrNjrVWQX8WsrDoX1dohtM2ncK9vtUvb,515634947932631
CYm355J7ABaEPTQR5CmcupAxdiEdBdeU9j1FnL47ifXp,50502105563936
6LCpzSkg3Ud1SpCnsYtmByWiiW6tcjSPNmJQmFGQcwaL,44918105023990
58T8cF983TnmQS1Q7J9wW2wdKoXTdA5MZTaRR4Djyazf,69167990730795
DtPamx7EtZgbYiFVUdFjTWsPKbJmf5qE5gBSVMga9Vos,104996434240
9Mo3ap3jpuqQpLi75EsiXLWfTr1cbBhrJNumoq1wnVp6,74639618658318
FhK2RqfNMDA6KXpxS88NJXZMtTioQEe43QcKym8KbcMQ,30261296843940
41iM1ZT5WYS8HgweopShefLJRfDD3jbB1MMJZiuEemvE,69154874731627
8X4SDANraPWJYCDB1ZYCucraB1TKki7vTFcJMiSrspTY,79625516661374
FXrzBb4KBTiQsVdSprYtKE4nZUvQWc7rgG5Z2BF9mUXd,69848877996615
BDJiPdixR1QR3KZJgUCsE3UoNMYbWLLVbuVhb1biiRyg,69184749649586
3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,2500000936382560
BfgnCUgrGEdXzWzQzMM8MW3Xwc6S1Rm8Yxh7Lpi132eb,14125466128476
8qhUrHUnkjwGsyC2SLWVXHNw5eF3Y6KovfY6BmRSjsKf,70116500512690
85YBDL6Wf7pdJBNqqCEuW4hCD7FVKv7gqnF8cKZycZmA,69150803827859
FLWc77X8dKh5RdJe5xMFxry8kvSVUbo9G4MQ8hCAg5ve,69263346133039
AoUwfPuiEek2thVRDhMP7HbQb9rguyab4rDiz2NAfwwA,529605972059023
8LVVWgBvrRaAmcRB8BQ77BNe8YEqZ3zydMHhUYXx1bV,69029439968283
8Go6mzV5m1SdLcxHTxCyLpQrAr7CgyDdWt4FRH6SCLHi,67590037274899
HmX39cpzVVXXiyfGmMhwzeKogAn5poqjTS5n2SVMKXSy,50265909034673
M4BYjZW7A7pC8SFnXjVFCW24JBotkLSB4Um8fLEwA5b,69791755680003
BhHwxtPKSmSdRSFyRpsDmhhYUcqaGeKfLpXTGdtUXZa5,69179986670958
HYbbNj9BiZ2ZGxGxWCry1KgjBt4SnojAmcKcUi6RxvMk,69198737405087
Ci4KuJaBGLxvq94pT7PqLRcPanAy4X3JRrAEvZoGNyL2,3002803
HCbyyxXV9gTmVmCmqqgWt2YgNSogFU4mtVLWNbfnjp32,47645601365020
DfnVD7TYqsEAYDto2NyYYXMwAowoFYmJNyxJ9bAWuKgQ,69229104960041
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,3112779194843936
H22WwH3qSAbZ6fH1n9PzGso3vBwQUz7gmK827ijLTgJW,69326963452481
3NFsbMNmFqr9k7PfkRQ4rgJ8Mcdnr5mMxxRQLPFwMPt9,3001998
HVqbYJgHWR8X5WaAyUebtff8LB3mvToe3CQRQMjbLjJ6,69187641353840
4CymATQ8a9qJUmCh5ygNFCePNQVgiKGkobvki5i45BiB,60789764519456
9Ucv8CjYTUXQgrBopBadzerBocP2TPEdkimT7g9AxWY1,69867144003734
BhcJRCZj9y8igr9cubx1H6cRAwS9XNZizmDFhfRHrjy1,50776862197226
juQfUScu6TU1ZDAqkbb5vj19qocQSMY5AZyXGfZF2eu,17885070971475
s2Meqg3YnYVZBLSAvXhLCttifWyppoPh3W6Meqz3J3v,69192731821204
3ARtLeVB83RoGAwRot8dh74pc2uqbPi6JwbkwDzqk91m,67901309435109
69XmsSWViGixcHhwz1KawAiQhvtzq3ipebNP8Vr46djf,47591531274949
9HiuHYVDnoQz7xdL2NFmZdv6S2jYNUQxGg7taDwrZ3gy,69121222552552
6Zg2okLWevWpaPzgiVTd7X5JnLRuqZeBXRbL7uVWnGvZ,68471604789781
BfzmdVkDHhV6b9z9kMRaCGC2RNRReYF1aWkRdbQUnDZK,1000000
9sgALTPB3UPRxkikfSb5w3jXcHkZ6M9Mg4SRBqQaR2Si,47886750565469
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,955157930238621
